Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
48,-122.323204,17.3042,-174.18004,-103.7619,142.1121,27.0,424.0,-2.860499,-5.7878675,-1.108435,0.08237439,-2.2369535,1.0906544,-0.08237439,0.05687903,-0.0064294785,-0.013332896,0.7124319,0.0024853765,80.0,65025,1.0103955,0.00029059999999999996,-73.90969848632812,21.52419090270996,0.4933646764718645,1536000,606,2546
49,-121.32027,20.096012,-196.3805,-78.939415,137.82533,24.0,500.0,-2.759802,-5.909816,-0.86119014,0.09362785,-2.1781063,1.2928852,-0.09362785,0.05447402,-0.006159954,-0.01786836,0.7117573,0.002558898,80.0,65025,1.0105681,0.00029039999999999996,-73.45153045654297,22.088605880737305,0.4930319916369756,1568000,618,2551
50,-118.58063,18.587683,-179.47133,-75.665955,121.99231,24.0,500.0,-2.7454917,-5.6527553,-1.0677546,0.07286908,-2.4056475,1.113997,-0.07286908,0.05622872,-0.006321011,-0.012968298,0.71108246,0.0025803116,80.0,65025,1.0076191,0.0002902,-73.06768798828125,22.50379753112793,0.4926993255673415,1600000,631,2541
51,-123.30411,23.472805,-188.96559,-63.433254,155.06897,27.0,500.0,-2.4944317,-5.356826,-0.96056795,0.07557871,-2.8631525,1.1343808,-0.075578704,0.05163951,-0.005822556,-0.012156391,0.71040684,0.0024945913,80.0,65025,1.0102307,0.00029,-72.5804672241211,23.110519409179688,0.4923666785278051,1632000,643,2529
52,-122.47924,24.126087,-187.96013,-74.55574,171.91351,27.0,500.0,-2.3833642,-5.208895,-0.90935534,0.086130105,-2.2494106,1.0028498,-0.086130105,0.04643835,-0.005391849,-0.012833774,0.70973104,0.0023823348,80.0,65025,1.0091114,0.00028979999999999994,-72.04713439941406,23.80526351928711,0.4920339921279806,1664000,656,2535
53,-117.50169,24.313393,-196.15067,-69.51971,163.67369,24.0,500.0,-2.2599483,-5.2818985,-0.7514689,0.09290835,-4.2622194,1.0842896,-0.09290834,0.0489114,-0.0055952463,-0.014356885,0.7090548,0.0023375482,80.0,65025,1.012991,0.0002896,-71.47065734863281,24.61024284362793,0.49170132536663863,1696000,669,2544
54,-116.007675,25.204437,-190.15495,-64.08909,186.57143,24.0,500.0,-2.032356,-4.8328257,-0.7281047,0.08494891,-2.3962505,0.9491736,-0.08494893,0.041954845,-0.0051406827,-0.0112978,0.70837796,0.0022412492,80.0,65025,1.0113704,0.0002894,-70.82891082763672,25.535648345947266,0.49136867850800625,1728000,681,2534
55,-117.158714,25.179754,-191.37042,-65.929085,170.91803,25.0,500.0,-2.0191135,-5.2884502,-0.658828,0.08339052,-2.4059322,1.3624234,-0.08339051,0.04651766,-0.0055622132,-0.013586905,0.70770067,0.0024348246,80.0,65025,1.0120785,0.0002892,-70.26668548583984,26.243682861328125,0.4910359932800518,1760000,694,2554
56,-111.98522,25.180458,-191.08002,-66.17163,207.64,24.0,500.0,-1.7915705,-4.9618754,-0.6308019,0.09682924,-2.1498704,1.2086006,-0.09682924,0.037840307,-0.004971452,-0.015418713,0.707023,0.0021474387,80.0,65025,1.0129595,0.000289,-69.57572174072266,27.222501754760742,0.4907033285619568,1792000,706,2557
57,-108.348656,23.08441,-173.8627,-67.67759,228.1884,26.0,500.0,-1.6115096,-4.7689304,-0.5713296,0.08431535,-1.977858,1.0861785,-0.08431536,0.02804292,-0.0041739047,-0.010035537,0.70634466,0.0020848154,80.0,65025,1.013968,0.00028879999999999997,-68.85910034179688,28.220056533813477,0.49037065538895963,1824000,719,2552
58,-112.55117,25.044363,-195.8876,-73.168564,197.9625,30.0,500.0,-1.5543348,-4.530052,-0.5009318,0.05210121,-2.827573,0.9774687,-0.052101213,0.03762009,-0.004956346,-0.008555708,0.7056661,0.0024323044,80.0,65025,1.0086024,0.00028859999999999997,-68.24931335449219,28.943761825561523,0.4900380032924869,1856000,732,2551
59,-107.08122,24.147251,-200.85677,-70.611015,232.50757,26.0,500.0,-1.348766,-4.7098384,-0.3760844,0.058526773,-2.4786372,1.236556,-0.05852677,0.029388096,-0.004275347,-0.007941565,0.7049872,0.0022715717,80.0,65025,1.0102193,0.00028839999999999996,-67.54534912109375,29.844938278198242,0.4897053433470194,1888000,744,2535
60,-102.74954,19.693012,-179.98811,-71.995415,247.96774,28.0,500.0,-1.2003398,-4.36107,-0.35767365,0.05629937,-1.8749645,0.97895336,-0.056299374,0.023218676,-0.0036212131,-0.006923047,0.70430756,0.002089246,80.0,65025,1.0095369,0.00028819999999999996,-66.81619262695312,30.767305374145508,0.4893726758750267,1920000,757,2537
61,-103.88093,15.93768,-159.94745,-73.24805,226.36496,27.0,500.0,-1.166245,-4.0566554,-0.3759,0.04416195,-1.8439445,0.8283872,-0.044161953,0.020133685,-0.003477267,-0.0054668197,0.7036275,0.0021560062,80.0,65025,1.0088438,0.00028799999999999995,-66.13663482666016,31.548551559448242,0.4890400011987705,1952000,769,2547
62,-106.26184,20.544685,-182.13521,-67.523445,255.075,28.0,500.0,-1.0882478,-3.7986317,-0.29729557,0.03832812,-1.870541,0.7954052,-0.03832812,0.022615286,-0.0036738962,-0.006349865,0.702947,0.0021772399,80.0,65025,1.0084264,0.0002878,-65.47603607177734,32.2568359375,0.4887073196403035,1984000,782,2560
63,-106.52805,19.052647,-190.66393,-73.716965,230.66418,30.0,500.0,-1.1367992,-4.3736506,-0.43067622,0.040158316,-2.0863008,1.2656713,-0.040158316,0.024913518,-0.003953551,-0.0054900004,0.70226604,0.0024569724,80.0,65025,1.0084901,0.0002876,-64.85918426513672,32.86441421508789,0.48837466063086676,2016000,794,2568
64,-102.78912,19.442085,-194.63145,-65.31739,266.07562,28.0,500.0,-0.98855704,-3.8277633,-0.22919892,0.033767913,-1.8287297,0.93213314,-0.033767916,0.01765356,-0.0032933825,-0.004032621,0.7015847,0.0023093433,80.0,65025,1.0078297,0.00028739999999999994,-64.20877075195312,33.518619537353516,0.48804199534303844,2048000,807,2558
65,-101.09071,18.367664,-190.44376,-61.933323,274.9823,28.0,500.0,-0.88141173,-3.5483165,-0.29024136,0.02525199,-1.7878141,0.855247,-0.02525199,0.013592662,-0.0028370228,-0.0036942302,0.7009028,0.0021760936,80.0,65025,1.006866,0.0002872,-63.55677032470703,34.156028747558594,0.4877093240982414,2080000,820,2530
66,-104.264404,17.473433,-194.1633,-69.87686,235.63359,27.0,500.0,-0.9142185,-3.6347096,-0.23320606,0.01893065,-2.2317548,0.79465663,-0.018930648,0.022546066,-0.0037335032,-0.004296078,0.70022047,0.0025299557,80.0,65025,1.005013,0.000287,-62.975303649902344,34.65618896484375,0.48737667626760073,2112000,832,2519
67,-100.13383,14.3195305,-173.01334,-72.059715,263.5378,25.0,500.0,-0.81318575,-3.5234113,-0.21602097,0.021116745,-2.0734348,0.8643355,-0.021116748,0.015211256,-0.002981546,-0.003614217,0.6995376,0.0023175227,80.0,65025,1.0056643,0.0002868,-62.36077117919922,35.19965744018555,0.4870439940524629,2144000,845,2546
68,-100.30219,15.308637,-181.03125,-73.35776,269.71304,28.0,500.0,-0.75995755,-3.7080307,-0.22881386,0.01153676,-2.2010016,0.8650191,-0.01153676,0.015059739,-0.0028766252,-0.0033159542,0.69885445,0.0025159074,80.0,65025,1.0043309,0.0002866,-61.76201248168945,35.70216751098633,0.48671133585361515,2176000,857,2542
69,-100.9529,16.216097,-170.63605,-66.12247,294.6542,23.0,500.0,-0.75827545,-3.44017,-0.17465317,0.018449211,-2.1262405,0.87206525,-0.018449211,0.014685713,-0.003006332,-0.0036281222,0.69817084,0.0024015605,80.0,65025,1.0039781,0.00028639999999999997,-61.17495346069336,36.16877365112305,0.4863786729417219,2208000,870,2514
70,-98.351715,14.966851,-172.9213,-70.13646,312.76532,27.0,500.0,-0.6840615,-3.2598896,-0.20749226,0.010836351,-1.7218152,0.6960534,-0.01083635,0.0098085925,-0.0023432588,-0.0022119605,0.6974866,0.0022058636,80.0,65025,1.0023277,0.00028619999999999996,-60.57989501953125,36.63687515258789,0.486046005637148,2240000,883,2526
71,-99.27927,14.776336,-182.04588,-75.44556,288.2477,28.0,500.0,-0.7194985,-3.1284585,-0.24475625,0.015509174,-1.9386528,0.7412162,-0.015509173,0.014074,-0.0028309978,-0.0029220087,0.69680184,0.0023102928,80.0,65025,1.0043757,0.00028599999999999996,-60.01691818237305,37.04948806762695,0.48571333426004565,2272000,895,2535
72,-100.82901,18.692753,-192.1077,-74.002686,274.77875,28.0,500.0,-0.6973583,-3.2757633,-0.25755888,0.007824748,-2.0104265,0.6833903,-0.007824747,0.01368557,-0.0029305806,-0.0035829763,0.69611657,0.0025962912,80.0,65025,1.0031043,0.00028579999999999995,-59.483909606933594,37.4098014831543,0.4853806591303537,2304000,908,2539
