Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
64,-148.38036,77.813194,-616.9454,-100.819885,97.717865,8.0,500.0,-1.1229664,-3.4649394,-0.44627243,-0.0062583946,-0.625485,0.32888576,0.0062583946,0.003665171,-0.0011953623,-0.00045579308,0.51311773,0.0019216491,80.0,1371,0.9967301,0.000237,-107.17098999023438,69.10469818115234,0.40421000272547203,2048000,319,6470
65,-141.8379,61.685925,-440.26532,-100.28282,87.064606,8.0,500.0,-1.1131486,-1.8577673,0.05700773,-0.0057301493,-1.3267726,0.36626554,0.00573015,0.0038033575,-0.0012574161,-0.00036532228,0.50899416,0.0019086441,80.0,1371,0.9978756,0.00023599999999999996,-106.68934631347656,68.84716796875,0.4025466709082031,2080000,324,6579
66,-145.38235,68.50945,-491.914,-100.87485,93.15385,6.0,500.0,-1.1115978,-1.9359441,-0.25173905,-0.006704149,-1.031057,0.38955975,0.006704149,0.0035010667,-0.0011723592,-0.00037589896,0.5048537,0.0019494194,80.0,1371,0.9961245,0.00023499999999999997,-106.20538330078125,68.60897827148438,0.40088332595034604,2112000,329,6588
67,-143.74377,67.11171,-435.43204,-100.573685,95.86103,2.0,500.0,-1.0907037,-2.6291802,0.22484595,-0.004793352,-1.4912255,0.33334094,0.0047933515,0.003106587,-0.0010811461,-0.00026966262,0.50069577,0.0018546078,80.0,1371,0.99738574,0.000234,-105.68309783935547,68.42897033691406,0.3992200009009028,2144000,335,5217
68,-140.3183,62.5139,-659.6848,-100.814026,90.3553,6.0,500.0,-1.0992042,-3.430525,-0.33707982,-0.0025268847,-0.7796515,0.32992864,0.002526884,0.003167188,-0.0011153822,-0.00019256881,0.49652055,0.0019847502,80.0,1371,0.9978767,0.00023299999999999997,-105.18186950683594,68.24642944335938,0.39755665787914013,2176000,341,5182
69,-145.04591,60.16322,-390.73984,-100.67066,102.404686,6.0,500.0,-1.0642766,-1.6793147,-0.23590726,-0.0031469106,-0.97979873,0.3874942,0.0031469108,0.0031105834,-0.001144483,-0.00033061503,0.49232814,0.0019796868,80.0,1371,0.9974725,0.00023199999999999997,-104.65725708007812,68.0949478149414,0.39589333114123026,2208000,346,6672
70,-152.41772,72.02416,-498.18097,-100.452835,118.76744,8.0,500.0,-1.0371008,-1.7325802,0.15961602,-0.0018687445,-1.4161153,0.3661866,0.0018687446,0.0032564201,-0.0011401265,-0.00035967468,0.4881177,0.0019837492,80.0,1371,0.9984388,0.00023099999999999998,-104.1107406616211,67.98944091796875,0.3942300081003882,2240000,351,6626
71,-147.26355,64.94521,-426.32123,-101.04697,115.49429,9.0,500.0,-1.0136145,-2.234273,-0.16531178,0.0021337834,-1.1307594,0.32781315,-0.0021337832,0.0027052748,-0.0010260213,-0.0001790809,0.4838896,0.001927486,80.0,1371,0.99772465,0.00022999999999999995,-103.52874755859375,67.93838500976562,0.3925666771128039,2272000,356,6599
72,-151.69505,74.953125,-492.9287,-101.06094,118.015564,7.0,500.0,-1.0515227,-3.9076695,-0.31374282,0.0020247842,-0.8681488,0.3784068,-0.002024784,0.0031295144,-0.0011074104,-0.00028282136,0.47964334,0.0017703271,80.0,1371,0.9998753,0.00022899999999999998,-102.98704528808594,67.85617065429688,0.39090332747450607,2304000,361,6230
73,-146.04745,65.43787,-423.43127,-100.69131,112.41758,11.0,500.0,-1.0184128,-1.9834372,-0.3055325,-0.0010806615,-0.864828,0.3255121,0.0010806612,0.0033068,-0.001178643,-0.00027341885,0.47537944,0.0020064372,80.0,1371,0.9982117,0.00022799999999999999,-102.4446029663086,67.77686309814453,0.38923999581919716,2336000,366,6757
